-61.00,0.00,-68.00
-66.00,0.00,-69.00
-65.00,0.00,-69.00
-66.00,0.00,-68.00
-58.00,0.00,-63.00
-57.00,0.00,-70.00
-60.00,0.00,-71.00
-60.00,0.00,-72.00
-61.00,0.00,-72.00
-49.00,-96.00,-64.00
-62.00,-95.00,-67.00
-48.00,-86.00,-57.00
-56.00,-80.00,-70.00
-44.00,-86.00,-57.00
-40.00,-80.00,-55.00
-64.00,-94.00,-78.00
-54.00,-93.00,-69.00
-57.00,0.00,-78.00
-50.00,-92.00,-64.00
-65.00,-92.00,-64.00
-45.00,-90.00,-63.00
-48.00,-86.00,-75.00
-62.00,-86.00,-66.00
-96.00,-76.00,-53.00
-39.00,-77.00,-57.00
-66.00,-94.00,-61.00
-66.00,-96.00,-75.00
-57.00,-94.00,-73.00
-53.00,-92.00,-70.00
-55.00,0.00,-70.00